PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
AIFM1	controls-state-change-of	ENDOG	PANTHER		Apoptosis signaling pathway	panther:TRANSPORT_LEFT__endoG-RIGHT__endoG-_r35;panther:_CATALYSIS___AIF_r35m1_r35
AIFM1	controls-transport-of	ENDOG	PANTHER		Apoptosis signaling pathway	panther:TRANSPORT_LEFT__endoG-RIGHT__endoG-_r35;panther:_CATALYSIS___AIF_r35m1_r35
AKT1	controls-state-change-of	CHUK	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__IKK-RIGHT__IKK-_r58;panther:_CATALYSIS___AKT_r58m3_r58
AKT1	controls-state-change-of	IKBKB	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__IKK-RIGHT__IKK-_r58;panther:_CATALYSIS___AKT_r58m3_r58
AKT2	controls-state-change-of	CHUK	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__IKK-RIGHT__IKK-_r58;panther:_CATALYSIS___AKT_r58m3_r58
AKT2	controls-state-change-of	IKBKB	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__IKK-RIGHT__IKK-_r58;panther:_CATALYSIS___AKT_r58m3_r58
AKT3	controls-state-change-of	CHUK	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__IKK-RIGHT__IKK-_r58;panther:_CATALYSIS___AKT_r58m3_r58
AKT3	controls-state-change-of	IKBKB	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__IKK-RIGHT__IKK-_r58;panther:_CATALYSIS___AKT_r58m3_r58
APAF1	controls-state-change-of	CASP9	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_9-RIGHT__Caspase_9-_r104;panther:_CATALYSIS___Apaf_1_r104m1_r104
BAG3	controls-state-change-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bag_r95m1_r95
BAG3	controls-transport-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bag_r95m1_r95
BAG3	controls-state-change-of	BAX	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bag_r95m1_r95
BAG3	controls-transport-of	BAX	PANTHER		Apoptosis signaling pathway	panther:HETERODIMER_ASSOCIATION_LEFT__Bax-_Bak-RIGHT__Complex__Bax_Bak_-_r95;panther:_CATALYSIS___Bag_r95m1_r95
BAG4	controls-state-change-of	CASP10	PANTHER		Apoptosis signaling pathway	panther:_INHIBITION___SODD_r49m3_r49;panther:STATE_TRANSITION_LEFT__Caspase_10-RIGHT__Caspase_10-_r49
BAG4	controls-state-change-of	CASP8	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase_8-RIGHT__Caspase_8-_r12;panther:_INHIBITION___SODD_r12m1_r12
BAK1	controls-state-change-of	AIFM1	PANTHER		Apoptosis signaling pathway	panther:TRANSPORT_LEFT__AIF-RIGHT__AIF-_r36;panther:_CATALYSIS___Bak_r36m1_r36
BAK1	controls-transport-of	AIFM1	PANTHER		Apoptosis signaling pathway	panther:TRANSPORT_LEFT__AIF-RIGHT__AIF-_r36;panther:_CATALYSIS___Bak_r36m1_r36
BAK1	in-complex-with	BAX	PANTHER		Apoptosis signaling pathway	panther:_Complex__Bax_Bak__s174_a275_
BAK1	controls-state-change-of	DIABLO	PANTHER		Apoptosis signaling pathway	panther:TRANSPORT_LEFT__Smac_Diablo-RIGHT__Smac_Diablo-_r37;panther:_CATALYSIS___Bak_r37m1_r37
BAK1	controls-transport-of	DIABLO	PANTHER		Apoptosis signaling pathway	panther:TRANSPORT_LEFT__Smac_Diablo-RIGHT__Smac_Diablo-_r37;panther:_CATALYSIS___Bak_r37m1_r37
BAX	controls-state-change-of	CYCS	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bax_r26m1_r26;panther:TRANSPORT_LEFT__Cytochrome_C-RIGHT__Cytochrome_C-_r26
BAX	controls-transport-of	CYCS	PANTHER		Apoptosis signaling pathway	panther:_CATALYSIS___Bax_r26m1_r26;panther:TRANSPORT_LEFT__Cytochrome_C-RIGHT__Cytochrome_C-_r26
BCL2	controls-state-change-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96;panther:_INHIBITION___Bcl_2_r96m1_r96
BCL2	controls-transport-of	BAK1	PANTHER		Apoptosis signaling pathway	panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96;panther:_INHIBITION___Bcl_2_r96m1_r96
BCL2	controls-state-change-of	BAX	PANTHER		Apoptosis signaling pathway	panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96;panther:_INHIBITION___Bcl_2_r96m1_r96
BCL2	controls-transport-of	BAX	PANTHER		Apoptosis signaling pathway	panther:DISSOCIATION_LEFT__Complex__Bax_Bak_-RIGHT__Bax-_Bak-_r96;panther:_INHIBITION___Bcl_2_r96m1_r96
BCL2	in-complex-with	BIK	PANTHER		Apoptosis signaling pathway	panther:_Complex__Bcl_2_Bik__s175_a278_
BCL2L10	controls-state-change-of	BCL2L1	PANTHER		Apoptosis signaling pathway	panther:STATE_TRANSITION_LEFT__Bcl_xL-RIGHT__Bcl_xL-_re78;panther:_MODULATION___Diva_re78m3_re78
