"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"AIFM1","ENDOG","O95831","Q14249","9606.ENSP00000287295","9606.ENSP00000361725"
"AIFM1","ENDOG","O95831","Q14249","9606.ENSP00000287295","9606.ENSP00000361725"
"AKT1","CHUK","P31749","O15111","9606.ENSP00000451828","9606.ENSP00000359424"
"AKT1","IKBKB","P31749","O14920","9606.ENSP00000451828","9606.ENSP00000430684"
"AKT2","CHUK","P31751","O15111","9606.ENSP00000375892","9606.ENSP00000359424"
"AKT2","IKBKB","P31751","O14920","9606.ENSP00000375892","9606.ENSP00000430684"
"AKT3","CHUK","Q9Y243","O15111","9606.ENSP00000500582","9606.ENSP00000359424"
"AKT3","IKBKB","Q9Y243","O14920","9606.ENSP00000500582","9606.ENSP00000430684"
"APAF1","CASP9","O14727","P55211","9606.ENSP00000448165","9606.ENSP00000330237"
"BAG3","BAK1","O95817","Q16611","9606.ENSP00000358081","9606.ENSP00000363591"
"BAG3","BAK1","O95817","Q16611","9606.ENSP00000358081","9606.ENSP00000363591"
"BAG3","BAX","O95817","Q07812","9606.ENSP00000358081","9606.ENSP00000293288"
"BAG3","BAX","O95817","Q07812","9606.ENSP00000358081","9606.ENSP00000293288"
"BAG4","CASP10","O95429","Q92851","9606.ENSP00000287322","9606.ENSP00000286186"
"BAG4","CASP8","O95429","Q14790","9606.ENSP00000287322","9606.ENSP00000351273"
"BAK1","AIFM1","Q16611","O95831","9606.ENSP00000363591","9606.ENSP00000287295"
"BAK1","AIFM1","Q16611","O95831","9606.ENSP00000363591","9606.ENSP00000287295"
"BAK1","BAX","Q16611","Q07812","9606.ENSP00000363591","9606.ENSP00000293288"
"BAK1","DIABLO","Q16611","Q9NR28","9606.ENSP00000363591","9606.ENSP00000398495"
"BAK1","DIABLO","Q16611","Q9NR28","9606.ENSP00000363591","9606.ENSP00000398495"
"BAX","CYCS","Q07812","P99999","9606.ENSP00000293288","9606.ENSP00000307786"
"BAX","CYCS","Q07812","P99999","9606.ENSP00000293288","9606.ENSP00000307786"
"BCL2","BAK1","P10415","Q16611","9606.ENSP00000381185","9606.ENSP00000363591"
"BCL2","BAK1","P10415","Q16611","9606.ENSP00000381185","9606.ENSP00000363591"
"BCL2","BAX","P10415","Q07812","9606.ENSP00000381185","9606.ENSP00000293288"
"BCL2","BAX","P10415","Q07812","9606.ENSP00000381185","9606.ENSP00000293288"
"BCL2","BIK","P10415","Q13323","9606.ENSP00000381185","9606.ENSP00000216115"
"BCL2L10","BCL2L1","Q9HD36","Q07817","9606.ENSP00000453562","9606.ENSP00000365230"
"BCL2L11","BAK1","O43521","Q16611","9606.ENSP00000376943","9606.ENSP00000363591"
"BCL2L11","BAK1","O43521","Q16611","9606.ENSP00000376943","9606.ENSP00000363591"
"BCL2L11","BAX","O43521","Q07812","9606.ENSP00000376943","9606.ENSP00000293288"
"BCL2L11","BAX","O43521","Q07812","9606.ENSP00000376943","9606.ENSP00000293288"
"BCL2L1","BAK1","Q07817","Q16611","9606.ENSP00000365230","9606.ENSP00000363591"
"BCL2L1","BAK1","Q07817","Q16611","9606.ENSP00000365230","9606.ENSP00000363591"
"BCL2L1","BAX","Q07817","Q07812","9606.ENSP00000365230","9606.ENSP00000293288"
"BCL2L1","BAX","Q07817","Q07812","9606.ENSP00000365230","9606.ENSP00000293288"
"BCL2L1","CYCS","Q07817","P99999","9606.ENSP00000365230","9606.ENSP00000307786"
"BCL2L1","CYCS","Q07817","P99999","9606.ENSP00000365230","9606.ENSP00000307786"
"BCL2L2","BAK1","Q92843","Q16611","9606.ENSP00000250405","9606.ENSP00000363591"
"BCL2L2","BAK1","Q92843","Q16611","9606.ENSP00000250405","9606.ENSP00000363591"
"BCL2L2","BAX","Q92843","Q07812","9606.ENSP00000250405","9606.ENSP00000293288"
"BCL2L2","BAX","Q92843","Q07812","9606.ENSP00000250405","9606.ENSP00000293288"
"BIRC2","CASP3","Q13490","P42574","9606.ENSP00000477613","9606.ENSP00000311032"
"BIRC2","CASP7","Q13490","P55210","9606.ENSP00000477613","9606.ENSP00000358327"
"BIRC2","CASP9","Q13490","P55211","9606.ENSP00000477613","9606.ENSP00000330237"
"BIRC3","CASP3","Q13489","P42574","9606.ENSP00000263464","9606.ENSP00000311032"
"BIRC3","CASP7","Q13489","P55210","9606.ENSP00000263464","9606.ENSP00000358327"
"BIRC3","CASP9","Q13489","P55211","9606.ENSP00000263464","9606.ENSP00000330237"
"BOK","BAK1","Q9UMX3","Q16611","9606.ENSP00000314132","9606.ENSP00000363591"
"BOK","BAK1","Q9UMX3","Q16611","9606.ENSP00000314132","9606.ENSP00000363591"
"BOK","BAX","Q9UMX3","Q07812","9606.ENSP00000314132","9606.ENSP00000293288"
"BOK","BAX","Q9UMX3","Q07812","9606.ENSP00000314132","9606.ENSP00000293288"
"CASP10","CASP3","Q92851","P42574","9606.ENSP00000286186","9606.ENSP00000311032"
"CASP10","CASP7","Q92851","P55210","9606.ENSP00000286186","9606.ENSP00000358327"
"CASP3","EIF2S1","P42574","P05198","9606.ENSP00000311032","9606.ENSP00000256383"
"CASP7","EIF2S1","P55210","P05198","9606.ENSP00000358327","9606.ENSP00000256383"
"CASP8","CASP3","Q14790","P42574","9606.ENSP00000351273","9606.ENSP00000311032"
"CASP8","CASP7","Q14790","P55210","9606.ENSP00000351273","9606.ENSP00000358327"
"CFLAR","CASP10","O15519","Q92851","9606.ENSP00000312455","9606.ENSP00000286186"
"CFLAR","CASP8","O15519","Q14790","9606.ENSP00000312455","9606.ENSP00000351273"
"CHUK","NFKBIA","O15111","P25963","9606.ENSP00000359424","9606.ENSP00000216797"
"CHUK","NFKBIA","O15111","P25963","9606.ENSP00000359424","9606.ENSP00000216797"
"CRADD","CASP10","P78560","Q92851","9606.ENSP00000439068","9606.ENSP00000286186"
"CRADD","CASP8","P78560","Q14790","9606.ENSP00000439068","9606.ENSP00000351273"
"CRADD","MAP3K14","P78560","Q99558","9606.ENSP00000439068","9606.ENSP00000482657"
"CRADD","MAP4K2","P78560","Q12851","9606.ENSP00000439068","9606.ENSP00000294066"
"CRADD","MAP4K3","P78560","Q8IVH8","9606.ENSP00000439068","9606.ENSP00000263881"
"CRADD","MAP4K4","P78560","O95819","9606.ENSP00000439068","9606.ENSP00000343658"
"CRADD","PIK3CA","P78560","P42336","9606.ENSP00000439068","9606.ENSP00000263967"
"CRADD","PIK3CB","P78560","P42338","9606.ENSP00000439068","9606.ENSP00000501150"
"CRADD","PIK3CD","P78560","O00329","9606.ENSP00000439068","9606.ENSP00000366563"
"CRADD","PIK3CG","P78560","P48736","9606.ENSP00000439068","9606.ENSP00000419260"
"CRADD","PRKCA","P78560","P17252","9606.ENSP00000439068","9606.ENSP00000408695"
"CRADD","PRKCB","P78560","P05771","9606.ENSP00000439068","9606.ENSP00000496129"
"CRADD","PRKCD","P78560","Q05655","9606.ENSP00000439068","9606.ENSP00000331602"
"CRADD","PRKCE","P78560","Q02156","9606.ENSP00000439068","9606.ENSP00000306124"
"CRADD","PRKCG","P78560","P05129","9606.ENSP00000439068","9606.ENSP00000263431"
"CRADD","PRKCQ","P78560","Q04759","9606.ENSP00000439068","9606.ENSP00000263125"
"CRADD","RIPK1","P78560","Q13546","9606.ENSP00000439068","9606.ENSP00000259808"
"CRADD","TRADD","P78560","Q15628","9606.ENSP00000439068","9606.ENSP00000341268"
"CRADD","TRAF2","P78560","Q92844","9606.ENSP00000439068","9606.ENSP00000259075"
"CYCS","APAF1","P99999","O14727","9606.ENSP00000307786","9606.ENSP00000448165"
"DAXX","CASP10","Q9UER7","Q92851","9606.ENSP00000266000","9606.ENSP00000286186"
"DAXX","CASP8","Q9UER7","Q14790","9606.ENSP00000266000","9606.ENSP00000351273"
"DAXX","FADD","Q9UER7","Q13158","9606.ENSP00000266000","9606.ENSP00000301838"
"DAXX","FASLG","Q9UER7","P48023","9606.ENSP00000266000","9606.ENSP00000356694"
"DAXX","FAS","Q9UER7","P49327","9606.ENSP00000266000","9606.ENSP00000304592"
"DAXX","MAP3K5","Q9UER7","Q99683","9606.ENSP00000266000","9606.ENSP00000351908"
"DAXX","MAP3K5","Q9UER7","Q99683","9606.ENSP00000266000","9606.ENSP00000351908"
"DIABLO","BIRC2","Q9NR28","Q13490","9606.ENSP00000398495","9606.ENSP00000477613"
"DIABLO","BIRC3","Q9NR28","Q13489","9606.ENSP00000398495","9606.ENSP00000263464"
"DIABLO","XIAP","Q9NR28","P98170","9606.ENSP00000398495","9606.ENSP00000360242"
"EIF2AK2","EIF2S1","P19525","P05198","9606.ENSP00000233057","9606.ENSP00000256383"
"EIF2AK2","TP53","P19525","P04637","9606.ENSP00000233057","9606.ENSP00000269305"
"FADD","CASP10","Q13158","Q92851","9606.ENSP00000301838","9606.ENSP00000286186"
"FADD","CASP8","Q13158","Q14790","9606.ENSP00000301838","9606.ENSP00000351273"
"FADD","FASLG","Q13158","P48023","9606.ENSP00000301838","9606.ENSP00000356694"
"FADD","FAS","Q13158","P49327","9606.ENSP00000301838","9606.ENSP00000304592"
"FADD","MAP3K5","Q13158","Q99683","9606.ENSP00000301838","9606.ENSP00000351908"
"FADD","MAP3K5","Q13158","Q99683","9606.ENSP00000301838","9606.ENSP00000351908"
"FADD","TRADD","Q13158","Q15628","9606.ENSP00000301838","9606.ENSP00000341268"
"FAS","CASP10","P49327","Q92851","9606.ENSP00000304592","9606.ENSP00000286186"
"FAS","CASP8","P49327","Q14790","9606.ENSP00000304592","9606.ENSP00000351273"
"FAS","FASLG","P49327","P48023","9606.ENSP00000304592","9606.ENSP00000356694"
"FASLG","CASP10","P48023","Q92851","9606.ENSP00000356694","9606.ENSP00000286186"
"FASLG","CASP8","P48023","Q14790","9606.ENSP00000356694","9606.ENSP00000351273"
"FASLG","MAP3K5","P48023","Q99683","9606.ENSP00000356694","9606.ENSP00000351908"
"FASLG","MAP3K5","P48023","Q99683","9606.ENSP00000356694","9606.ENSP00000351908"
"FAS","MAP3K5","P49327","Q99683","9606.ENSP00000304592","9606.ENSP00000351908"
"FAS","MAP3K5","P49327","Q99683","9606.ENSP00000304592","9606.ENSP00000351908"
"FOS","JUN","P01100","P05412","9606.ENSP00000306245","9606.ENSP00000360266"
