From	Entry	Reviewed	Entry Name
AIFM1	O95831	reviewed	AIFM1_HUMAN
AKT1	P31749	reviewed	AKT1_HUMAN
AKT2	P31751	reviewed	AKT2_HUMAN
AKT3	Q9Y243	reviewed	AKT3_HUMAN
APAF1	O14727	reviewed	APAF_HUMAN
BAG3	O95817	reviewed	BAG3_HUMAN
BAG4	O95429	reviewed	BAG4_HUMAN
BAK1	Q16611	reviewed	BAK_HUMAN
BAX	Q07812	reviewed	BAX_HUMAN
BCL2	P10415	reviewed	BCL2_HUMAN
BCL2L10	Q9HD36	reviewed	B2L10_HUMAN
BCL2L11	O43521	reviewed	B2L11_HUMAN
BCL2L1	Q07817	reviewed	B2CL1_HUMAN
BCL2L2	Q92843	reviewed	B2CL2_HUMAN
BIRC2	Q13490	reviewed	BIRC2_HUMAN
BIRC3	Q13489	reviewed	BIRC3_HUMAN
BOK	Q9UMX3	reviewed	BOK_HUMAN
CASP10	Q92851	reviewed	CASPA_HUMAN
CASP3	P42574	reviewed	CASP3_HUMAN
CASP7	P55210	reviewed	CASP7_HUMAN
CASP8	Q14790	reviewed	CASP8_HUMAN
CFLAR	O15519	reviewed	CFLAR_HUMAN
CHUK	O15111	reviewed	IKKA_HUMAN
CRADD	P78560	reviewed	CRADD_HUMAN
CYCS	P99999	reviewed	CYC_HUMAN
DAXX	Q9UER7	reviewed	DAXX_HUMAN
DIABLO	Q9NR28	reviewed	DBLOH_HUMAN
EIF2AK2	P19525	reviewed	E2AK2_HUMAN
FADD	Q13158	reviewed	FADD_HUMAN
FAS	P25445	reviewed	TNR6_HUMAN
FAS	P49327	reviewed	FAS_HUMAN
FASLG	P48023	reviewed	TNFL6_HUMAN
FOS	P01100	reviewed	FOS_HUMAN
GZMB	P10144	reviewed	GRAB_HUMAN
GZMH	P20718	reviewed	GRAH_HUMAN
HSPA1A	P0DMV8	reviewed	HS71A_HUMAN
HSPA1B	P0DMV9	reviewed	HS71B_HUMAN
HSPA1L	P34931	reviewed	HS71L_HUMAN
HSPA2	P54652	reviewed	HSP72_HUMAN
HSPA5	P11021	reviewed	BIP_HUMAN
HSPA6	P17066	reviewed	HSP76_HUMAN
HSPA8	P11142	reviewed	HSP7C_HUMAN
IKBKB	O14920	reviewed	IKKB_HUMAN
LTA	P01374	reviewed	TNFB_HUMAN
LTB	Q06643	reviewed	TNFC_HUMAN
MADD	Q8WXG6	reviewed	MADD_HUMAN
MAP2K3	P46734	reviewed	MP2K3_HUMAN
MAP2K4	P45985	reviewed	MP2K4_HUMAN
MAP2K7	O14733	reviewed	MP2K7_HUMAN
MAP3K14	Q99558	reviewed	M3K14_HUMAN
MAP3K1	Q13233	reviewed	M3K1_HUMAN
MAP3K5	Q99683	reviewed	M3K5_HUMAN
MAP4K2	Q12851	reviewed	M4K2_HUMAN
MAP4K3	Q8IVH8	reviewed	M4K3_HUMAN
MAP4K4	O95819	reviewed	M4K4_HUMAN
MAPK10	P53779	reviewed	MK10_HUMAN
MAPK1	P28482	reviewed	MK01_HUMAN
MAPK3	P27361	reviewed	MK03_HUMAN
MAPK8	P45983	reviewed	MK08_HUMAN
MAPK9	P45984	reviewed	MK09_HUMAN
MCL1	Q07820	reviewed	MCL1_HUMAN
NFKB1	P19838	reviewed	NFKB1_HUMAN
NFKB2	Q00653	reviewed	NFKB2_HUMAN
NFKBIA	P25963	reviewed	IKBA_HUMAN
PIK3CA	P42336	reviewed	PK3CA_HUMAN
PIK3CB	P42338	reviewed	PK3CB_HUMAN
PIK3CD	O00329	reviewed	PK3CD_HUMAN
PIK3CG	P48736	reviewed	PK3CG_HUMAN
PRKCA	P17252	reviewed	KPCA_HUMAN
PRKCB	P05771	reviewed	KPCB_HUMAN
PRKCD	Q05655	reviewed	KPCD_HUMAN
PRKCE	Q02156	reviewed	KPCE_HUMAN
PRKCG	P05129	reviewed	KPCG_HUMAN
PRKCH	C0HM02	reviewed	PKHUO_HUMAN
PRKCH	P24723	reviewed	KPCL_HUMAN
PRKCQ	Q04759	reviewed	KPCT_HUMAN
PRKRA	O75569	reviewed	PRKRA_HUMAN
RIPK1	Q13546	reviewed	RIPK1_HUMAN
TMBIM6	P55061	reviewed	BI1_HUMAN
TNF	P01375	reviewed	TNFA_HUMAN
TNFRSF10A	O00220	reviewed	TR10A_HUMAN
TNFRSF10B	O14763	reviewed	TR10B_HUMAN
TNFRSF10C	O14798	reviewed	TR10C_HUMAN
TNFRSF10D	Q9UBN6	reviewed	TR10D_HUMAN
TNFRSF1A	P19438	reviewed	TNR1A_HUMAN
TNFRSF1B	P20333	reviewed	TNR1B_HUMAN
TRADD	Q15628	reviewed	TRADD_HUMAN
TRAF2	Q12933	reviewed	TRAF2_HUMAN
TRAF2	Q92844	reviewed	TANK_HUMAN
XIAP	P98170	reviewed	XIAP_HUMAN
ATF1	P18846	reviewed	ATF1_HUMAN
ATF2	P15336	reviewed	ATF2_HUMAN
TNFSF10	P50591	reviewed	TNF10_HUMAN
ENDOG	Q14249	reviewed	NUCG_HUMAN
ATF7	P17544	reviewed	ATF7_HUMAN
TP53	P04637	reviewed	P53_HUMAN
ATF6	P18850	reviewed	ATF6A_HUMAN
ATF3	P18847	reviewed	ATF3_HUMAN
ATF4	P18848	reviewed	ATF4_HUMAN
CREM	Q03060	reviewed	CREM_HUMAN
JUN	P05412	reviewed	JUN_HUMAN
EIF2S1	P05198	reviewed	IF2A_HUMAN
IGF2R	P11717	reviewed	MPRI_HUMAN
REL	Q04864	reviewed	REL_HUMAN
CASP9	P55211	reviewed	CASP9_HUMAN
JDP2	Q8WYK2	reviewed	JDP2_HUMAN
ATF6B	Q99941	reviewed	ATF6B_HUMAN
RELA	Q04206	reviewed	TF65_HUMAN
RELB	Q01201	reviewed	RELB_HUMAN
BIK	Q13323	reviewed	BIK_HUMAN
