PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
ADCY2	controls-production-of	chebi:17489	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__ATP-RIGHT__cAMP-_re9;panther:_CATALYSIS___AC_re9m1_re9_04f6a6dd0499c247b270b3d7ad14f85e
ADCY7	controls-production-of	chebi:17489	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__ATP-RIGHT__cAMP-_re9;panther:_CATALYSIS___AC_re9m1_re9_04f6a6dd0499c247b270b3d7ad14f85e
ADRB3	in-complex-with	GNAL	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNB1	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNB2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNB3	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNB4	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNB5	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNG10	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNG12	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNG2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNG3	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNG4	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNG5	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNG7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNG8	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
ADRB3	in-complex-with	GNGT2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:_Complex__GDP_G_Protein__brBetasub_3_NE__s38_a53_;panther:_Complex__GDP_G_Protein__brBetasub_3__s35_a45_
GNAL	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNAL	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB1	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB1	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB2	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB2	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB3	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB3	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB4	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB4	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB5	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNB5	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG10	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG10	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG12	controls-state-change-of	ADCY2	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
GNG12	controls-state-change-of	ADCY7	PANTHER		Beta3 adrenergic receptor signaling pathway	panther:STATE_TRANSITION_LEFT__AC-RIGHT__AC-_re17_59931fecc5a89176ed6792d95ed22bbc;panther:_CATALYSIS___Complex__GTP_G_Protein__re17m1_re17_61d8a960a94c29037a9ce2634f896cae
