"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"ADRB3","GNAL","P13945","P38405","9606.ENSP00000343782","9606.ENSP00000334051"
"ADRB3","GNB1","P13945","P62873","9606.ENSP00000343782","9606.ENSP00000367872"
"ADRB3","GNB2","P13945","P62879","9606.ENSP00000343782","9606.ENSP00000305260"
"ADRB3","GNB3","P13945","P16520","9606.ENSP00000343782","9606.ENSP00000229264"
"ADRB3","GNB4","P13945","Q9HAV0","9606.ENSP00000343782","9606.ENSP00000232564"
"ADRB3","GNB5","P13945","O14775","9606.ENSP00000343782","9606.ENSP00000261837"
"ADRB3","GNG10","P13945","P50151","9606.ENSP00000343782","9606.ENSP00000363411"
"ADRB3","GNG12","P13945","Q9UBI6","9606.ENSP00000343782","9606.ENSP00000360021"
"ADRB3","GNG2","P13945","P59768","9606.ENSP00000343782","9606.ENSP00000334448"
"ADRB3","GNG3","P13945","P63215","9606.ENSP00000343782","9606.ENSP00000294117"
"ADRB3","GNG4","P13945","P50150","9606.ENSP00000343782","9606.ENSP00000398629"
"ADRB3","GNG5","P13945","P63218","9606.ENSP00000343782","9606.ENSP00000359675"
"ADRB3","GNG7","P13945","O60262","9606.ENSP00000343782","9606.ENSP00000371594"
"ADRB3","GNG8","P13945","Q9UK08","9606.ENSP00000343782","9606.ENSP00000300873"
"ADRB3","GNGT2","P13945","O14610","9606.ENSP00000343782","9606.ENSP00000421710"
"GNAL","ADCY2","P38405","Q08462","9606.ENSP00000334051","9606.ENSP00000342952"
"GNAL","ADCY7","P38405","P51828","9606.ENSP00000334051","9606.ENSP00000501053"
"GNB1","ADCY2","P62873","Q08462","9606.ENSP00000367872","9606.ENSP00000342952"
"GNB1","ADCY7","P62873","P51828","9606.ENSP00000367872","9606.ENSP00000501053"
"GNB2","ADCY2","P62879","Q08462","9606.ENSP00000305260","9606.ENSP00000342952"
"GNB2","ADCY7","P62879","P51828","9606.ENSP00000305260","9606.ENSP00000501053"
"GNB3","ADCY2","P16520","Q08462","9606.ENSP00000229264","9606.ENSP00000342952"
"GNB3","ADCY7","P16520","P51828","9606.ENSP00000229264","9606.ENSP00000501053"
"GNB4","ADCY2","Q9HAV0","Q08462","9606.ENSP00000232564","9606.ENSP00000342952"
"GNB4","ADCY7","Q9HAV0","P51828","9606.ENSP00000232564","9606.ENSP00000501053"
"GNB5","ADCY2","O14775","Q08462","9606.ENSP00000261837","9606.ENSP00000342952"
"GNB5","ADCY7","O14775","P51828","9606.ENSP00000261837","9606.ENSP00000501053"
"GNG10","ADCY2","P50151","Q08462","9606.ENSP00000363411","9606.ENSP00000342952"
"GNG10","ADCY7","P50151","P51828","9606.ENSP00000363411","9606.ENSP00000501053"
"GNG12","ADCY2","Q9UBI6","Q08462","9606.ENSP00000360021","9606.ENSP00000342952"
"GNG12","ADCY7","Q9UBI6","P51828","9606.ENSP00000360021","9606.ENSP00000501053"
"GNG2","ADCY2","P59768","Q08462","9606.ENSP00000334448","9606.ENSP00000342952"
"GNG2","ADCY7","P59768","P51828","9606.ENSP00000334448","9606.ENSP00000501053"
"GNG3","ADCY2","P63215","Q08462","9606.ENSP00000294117","9606.ENSP00000342952"
"GNG3","ADCY7","P63215","P51828","9606.ENSP00000294117","9606.ENSP00000501053"
"GNG4","ADCY2","P50150","Q08462","9606.ENSP00000398629","9606.ENSP00000342952"
"GNG4","ADCY7","P50150","P51828","9606.ENSP00000398629","9606.ENSP00000501053"
"GNG5","ADCY2","P63218","Q08462","9606.ENSP00000359675","9606.ENSP00000342952"
"GNG5","ADCY7","P63218","P51828","9606.ENSP00000359675","9606.ENSP00000501053"
"GNG7","ADCY2","O60262","Q08462","9606.ENSP00000371594","9606.ENSP00000342952"
"GNG7","ADCY7","O60262","P51828","9606.ENSP00000371594","9606.ENSP00000501053"
"GNG8","ADCY2","Q9UK08","Q08462","9606.ENSP00000300873","9606.ENSP00000342952"
"GNG8","ADCY7","Q9UK08","P51828","9606.ENSP00000300873","9606.ENSP00000501053"
"GNGT2","ADCY2","O14610","Q08462","9606.ENSP00000421710","9606.ENSP00000342952"
"GNGT2","ADCY7","O14610","P51828","9606.ENSP00000421710","9606.ENSP00000501053"
