From	Entry	Reviewed	Entry Name
ADCY2	Q08462	reviewed	ADCY2_HUMAN
ADCY7	P51828	reviewed	ADCY7_HUMAN
ADRB3	P13945	reviewed	ADRB3_HUMAN
GNAL	P38405	reviewed	GNAL_HUMAN
GNB1	P62873	reviewed	GBB1_HUMAN
GNB2	P62879	reviewed	GBB2_HUMAN
GNB3	P16520	reviewed	GBB3_HUMAN
GNB4	Q9HAV0	reviewed	GBB4_HUMAN
GNB5	O14775	reviewed	GNB5_HUMAN
GNG10	P50151	reviewed	GBG10_HUMAN
GNG12	Q9UBI6	reviewed	GBG12_HUMAN
GNG2	P59768	reviewed	GBG2_HUMAN
GNG3	P63215	reviewed	GBG3_HUMAN
GNG4	P50150	reviewed	GBG4_HUMAN
GNG5	P63218	reviewed	GBG5_HUMAN
GNG7	O60262	reviewed	GBG7_HUMAN
GNG8	O14610	reviewed	GBGT2_HUMAN
GNG8	Q9UK08	reviewed	GBG8_HUMAN
GNGT2	O14610	reviewed	GBGT2_HUMAN
