"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"BTRC","GLI1","Q9Y297","P08151","9606.ENSP00000359206","9606.ENSP00000228682"
"BTRC","GLI3","Q9Y297","P10071","9606.ENSP00000359206","9606.ENSP00000379258"
"BTRC","SUFU","Q9Y297","Q9UMX1","9606.ENSP00000359206","9606.ENSP00000358918"
"CREBBP","GLI1","Q92793","P08151","9606.ENSP00000262367","9606.ENSP00000228682"
"CREBBP","GLI3","Q92793","P10071","9606.ENSP00000262367","9606.ENSP00000379258"
"CSNK1A1","GLI1","P48729","P08151","9606.ENSP00000261798","9606.ENSP00000228682"
"CSNK1A1","GLI3","P48729","P10071","9606.ENSP00000261798","9606.ENSP00000379258"
"CSNK1A1L","GLI1","Q8N752","P08151","9606.ENSP00000369126","9606.ENSP00000228682"
"CSNK1A1L","GLI3","Q8N752","P10071","9606.ENSP00000369126","9606.ENSP00000379258"
"CSNK1A1L","SUFU","Q8N752","Q9UMX1","9606.ENSP00000369126","9606.ENSP00000358918"
"CSNK1A1","SUFU","P48729","Q9UMX1","9606.ENSP00000261798","9606.ENSP00000358918"
"CSNK1E","GLI1","P49674","P08151","9606.ENSP00000380044","9606.ENSP00000228682"
"CSNK1E","GLI3","P49674","P10071","9606.ENSP00000380044","9606.ENSP00000379258"
"CSNK1E","SUFU","P49674","Q9UMX1","9606.ENSP00000380044","9606.ENSP00000358918"
"FBXW11","GLI1","Q9UKB1","P08151","9606.ENSP00000265094","9606.ENSP00000228682"
"FBXW11","GLI3","Q9UKB1","P10071","9606.ENSP00000265094","9606.ENSP00000379258"
"FBXW11","SUFU","Q9UKB1","Q9UMX1","9606.ENSP00000265094","9606.ENSP00000358918"
"GLI1","SMO","P08151","Q99835","9606.ENSP00000228682","9606.ENSP00000249373"
"GLI1","STK36","P08151","Q9NRP7","9606.ENSP00000228682","9606.ENSP00000295709"
"GLI1","SUFU","P08151","Q9UMX1","9606.ENSP00000228682","9606.ENSP00000358918"
"GLI3","SMO","P10071","Q99835","9606.ENSP00000379258","9606.ENSP00000249373"
"GLI3","STK36","P10071","Q9NRP7","9606.ENSP00000379258","9606.ENSP00000295709"
"GLI3","SUFU","P10071","Q9UMX1","9606.ENSP00000379258","9606.ENSP00000358918"
"GSK3B","GLI1","P49841","P08151","9606.ENSP00000324806","9606.ENSP00000228682"
"GSK3B","GLI3","P49841","P10071","9606.ENSP00000324806","9606.ENSP00000379258"
"GSK3B","SUFU","P49841","Q9UMX1","9606.ENSP00000324806","9606.ENSP00000358918"
"PRKAR1A","GLI1","P10644","P08151","9606.ENSP00000376475","9606.ENSP00000228682"
"PRKAR1A","GLI1","P10644","P08151","9606.ENSP00000376475","9606.ENSP00000228682"
"PRKAR1A","GLI3","P10644","P10071","9606.ENSP00000376475","9606.ENSP00000379258"
"PRKAR1A","GLI3","P10644","P10071","9606.ENSP00000376475","9606.ENSP00000379258"
"PRKAR1A","SUFU","P10644","Q9UMX1","9606.ENSP00000376475","9606.ENSP00000358918"
"PRKAR1B","GLI1","P31321","P08151","9606.ENSP00000385749","9606.ENSP00000228682"
"PRKAR1B","GLI1","P31321","P08151","9606.ENSP00000385749","9606.ENSP00000228682"
"PRKAR1B","GLI3","P31321","P10071","9606.ENSP00000385749","9606.ENSP00000379258"
"PRKAR1B","GLI3","P31321","P10071","9606.ENSP00000385749","9606.ENSP00000379258"
"PRKAR1B","SUFU","P31321","Q9UMX1","9606.ENSP00000385749","9606.ENSP00000358918"
"PRKAR2A","GLI1","P13861","P08151","9606.ENSP00000265563","9606.ENSP00000228682"
"PRKAR2A","GLI1","P13861","P08151","9606.ENSP00000265563","9606.ENSP00000228682"
"PRKAR2A","GLI3","P13861","P10071","9606.ENSP00000265563","9606.ENSP00000379258"
"PRKAR2A","GLI3","P13861","P10071","9606.ENSP00000265563","9606.ENSP00000379258"
"PRKAR2A","SUFU","P13861","Q9UMX1","9606.ENSP00000265563","9606.ENSP00000358918"
"PRKAR2B","GLI1","P31323","P08151","9606.ENSP00000265717","9606.ENSP00000228682"
"PRKAR2B","GLI1","P31323","P08151","9606.ENSP00000265717","9606.ENSP00000228682"
"PRKAR2B","GLI3","P31323","P10071","9606.ENSP00000265717","9606.ENSP00000379258"
"PRKAR2B","GLI3","P31323","P10071","9606.ENSP00000265717","9606.ENSP00000379258"
"PRKAR2B","SUFU","P31323","Q9UMX1","9606.ENSP00000265717","9606.ENSP00000358918"
"PTCH1","GLI1","Q13635","P08151","9606.ENSP00000332353","9606.ENSP00000228682"
"PTCH1","GLI3","Q13635","P10071","9606.ENSP00000332353","9606.ENSP00000379258"
"PTCH1","SHH","Q13635","Q15465","9606.ENSP00000332353","9606.ENSP00000297261"
"PTCH1","SMO","Q13635","Q99835","9606.ENSP00000332353","9606.ENSP00000249373"
"PTCH1","SMO","Q13635","Q99835","9606.ENSP00000332353","9606.ENSP00000249373"
"PTCH1","STK36","Q13635","Q9NRP7","9606.ENSP00000332353","9606.ENSP00000295709"
"PTCH1","STK36","Q13635","Q9NRP7","9606.ENSP00000332353","9606.ENSP00000295709"
"PTCH1","SUFU","Q13635","Q9UMX1","9606.ENSP00000332353","9606.ENSP00000358918"
"SHH","GLI1","Q15465","P08151","9606.ENSP00000297261","9606.ENSP00000228682"
"SHH","GLI3","Q15465","P10071","9606.ENSP00000297261","9606.ENSP00000379258"
"SHH","SMO","Q15465","Q99835","9606.ENSP00000297261","9606.ENSP00000249373"
"SHH","SMO","Q15465","Q99835","9606.ENSP00000297261","9606.ENSP00000249373"
"SHH","STK36","Q15465","Q9NRP7","9606.ENSP00000297261","9606.ENSP00000295709"
"SHH","STK36","Q15465","Q9NRP7","9606.ENSP00000297261","9606.ENSP00000295709"
"SHH","SUFU","Q15465","Q9UMX1","9606.ENSP00000297261","9606.ENSP00000358918"
"SMO","GLI1","Q99835","P08151","9606.ENSP00000249373","9606.ENSP00000228682"
"SMO","GLI3","Q99835","P10071","9606.ENSP00000249373","9606.ENSP00000379258"
"SMO","STK36","Q99835","Q9NRP7","9606.ENSP00000249373","9606.ENSP00000295709"
"SMO","SUFU","Q99835","Q9UMX1","9606.ENSP00000249373","9606.ENSP00000358918"
"STK36","GLI1","Q9NRP7","P08151","9606.ENSP00000295709","9606.ENSP00000228682"
"STK36","GLI3","Q9NRP7","P10071","9606.ENSP00000295709","9606.ENSP00000379258"
"STK36","SUFU","Q9NRP7","Q9UMX1","9606.ENSP00000295709","9606.ENSP00000358918"
"UBR5","BTRC","O95071","Q9Y297","9606.ENSP00000429084","9606.ENSP00000359206"
"UBR5","FBXW11","O95071","Q9UKB1","9606.ENSP00000429084","9606.ENSP00000265094"
"UBR5","GLI1","O95071","P08151","9606.ENSP00000429084","9606.ENSP00000228682"
"UBR5","GLI3","O95071","P10071","9606.ENSP00000429084","9606.ENSP00000379258"
"UBR5","SUFU","O95071","Q9UMX1","9606.ENSP00000429084","9606.ENSP00000358918"
