"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"JAK1","STAT1","P23458","P42224","9606.ENSP00000499900","9606.ENSP00000354394"
"JAK1","STAT3","P23458","P40763","9606.ENSP00000499900","9606.ENSP00000264657"
"JAK1","STAT4","P23458","Q14765","9606.ENSP00000499900","9606.ENSP00000351255"
"JAK1","STAT5A","P23458","P42229","9606.ENSP00000499900","9606.ENSP00000341208"
"JAK1","STAT5B","P23458","P51692","9606.ENSP00000499900","9606.ENSP00000293328"
"JAK1","STAT6","P23458","P42226","9606.ENSP00000499900","9606.ENSP00000300134"
"JAK2","STAT1","O60674","P42224","9606.ENSP00000371067","9606.ENSP00000354394"
"JAK2","STAT3","O60674","P40763","9606.ENSP00000371067","9606.ENSP00000264657"
"JAK2","STAT4","O60674","Q14765","9606.ENSP00000371067","9606.ENSP00000351255"
"JAK2","STAT5A","O60674","P42229","9606.ENSP00000371067","9606.ENSP00000341208"
"JAK2","STAT5B","O60674","P51692","9606.ENSP00000371067","9606.ENSP00000293328"
"JAK2","STAT6","O60674","P42226","9606.ENSP00000371067","9606.ENSP00000300134"
"JAK3","STAT1","P52333","P42224","9606.ENSP00000432511","9606.ENSP00000354394"
"JAK3","STAT3","P52333","P40763","9606.ENSP00000432511","9606.ENSP00000264657"
"JAK3","STAT4","P52333","Q14765","9606.ENSP00000432511","9606.ENSP00000351255"
"JAK3","STAT5A","P52333","P42229","9606.ENSP00000432511","9606.ENSP00000341208"
"JAK3","STAT5B","P52333","P51692","9606.ENSP00000432511","9606.ENSP00000293328"
"JAK3","STAT6","P52333","P42226","9606.ENSP00000432511","9606.ENSP00000300134"
"MAPK14","JAK1","Q16539","P23458","9606.ENSP00000229795","9606.ENSP00000499900"
"MAPK14","JAK2","Q16539","O60674","9606.ENSP00000229795","9606.ENSP00000371067"
"MAPK14","JAK3","Q16539","P52333","9606.ENSP00000229795","9606.ENSP00000432511"
"MAPK14","STAT1","Q16539","P42224","9606.ENSP00000229795","9606.ENSP00000354394"
"MAPK14","STAT3","Q16539","P40763","9606.ENSP00000229795","9606.ENSP00000264657"
"MAPK14","STAT4","Q16539","Q14765","9606.ENSP00000229795","9606.ENSP00000351255"
"MAPK14","STAT5A","Q16539","P42229","9606.ENSP00000229795","9606.ENSP00000341208"
"MAPK14","STAT5B","Q16539","P51692","9606.ENSP00000229795","9606.ENSP00000293328"
"MAPK14","STAT6","Q16539","P42226","9606.ENSP00000229795","9606.ENSP00000300134"
"PIAS1","STAT1","O75925","P42224","9606.ENSP00000438574","9606.ENSP00000354394"
"PIAS1","STAT3","O75925","P40763","9606.ENSP00000438574","9606.ENSP00000264657"
"PIAS1","STAT4","O75925","Q14765","9606.ENSP00000438574","9606.ENSP00000351255"
"PIAS1","STAT5A","O75925","P42229","9606.ENSP00000438574","9606.ENSP00000341208"
"PIAS1","STAT5B","O75925","P51692","9606.ENSP00000438574","9606.ENSP00000293328"
"PIAS1","STAT6","O75925","P42226","9606.ENSP00000438574","9606.ENSP00000300134"
"PIAS2","STAT1","O75928","P42224","9606.ENSP00000465676","9606.ENSP00000354394"
"PIAS2","STAT3","O75928","P40763","9606.ENSP00000465676","9606.ENSP00000264657"
"PIAS2","STAT4","O75928","Q14765","9606.ENSP00000465676","9606.ENSP00000351255"
"PIAS2","STAT5A","O75928","P42229","9606.ENSP00000465676","9606.ENSP00000341208"
"PIAS2","STAT5B","O75928","P51692","9606.ENSP00000465676","9606.ENSP00000293328"
"PIAS2","STAT6","O75928","P42226","9606.ENSP00000465676","9606.ENSP00000300134"
"PIAS3","STAT1","Q9Y6X2","P42224","9606.ENSP00000376765","9606.ENSP00000354394"
"PIAS3","STAT3","Q9Y6X2","P40763","9606.ENSP00000376765","9606.ENSP00000264657"
"PIAS3","STAT4","Q9Y6X2","Q14765","9606.ENSP00000376765","9606.ENSP00000351255"
"PIAS3","STAT5A","Q9Y6X2","P42229","9606.ENSP00000376765","9606.ENSP00000341208"
"PIAS3","STAT5B","Q9Y6X2","P51692","9606.ENSP00000376765","9606.ENSP00000293328"
"PIAS3","STAT6","Q9Y6X2","P42226","9606.ENSP00000376765","9606.ENSP00000300134"
"PTPRC","JAK1","P08575","P23458","9606.ENSP00000411355","9606.ENSP00000499900"
"PTPRC","JAK2","P08575","O60674","9606.ENSP00000411355","9606.ENSP00000371067"
"PTPRC","JAK3","P08575","P52333","9606.ENSP00000411355","9606.ENSP00000432511"
"PTPRC","STAT1","P08575","P42224","9606.ENSP00000411355","9606.ENSP00000354394"
"PTPRC","STAT3","P08575","P40763","9606.ENSP00000411355","9606.ENSP00000264657"
"PTPRC","STAT4","P08575","Q14765","9606.ENSP00000411355","9606.ENSP00000351255"
"PTPRC","STAT5A","P08575","P42229","9606.ENSP00000411355","9606.ENSP00000341208"
"PTPRC","STAT5B","P08575","P51692","9606.ENSP00000411355","9606.ENSP00000293328"
"PTPRC","STAT6","P08575","P42226","9606.ENSP00000411355","9606.ENSP00000300134"
"SOCS1","JAK1","O15524","P23458","9606.ENSP00000496577","9606.ENSP00000499900"
"SOCS1","JAK2","O15524","O60674","9606.ENSP00000496577","9606.ENSP00000371067"
"SOCS1","JAK3","O15524","P52333","9606.ENSP00000496577","9606.ENSP00000432511"
