From	Entry	Reviewed	Entry Name
JAK1	P23458	reviewed	JAK1_HUMAN
JAK2	O60674	reviewed	JAK2_HUMAN
JAK3	P52333	reviewed	JAK3_HUMAN
MAPK14	Q16539	reviewed	MK14_HUMAN
PIAS1	O75925	reviewed	PIAS1_HUMAN
PIAS2	O75928	reviewed	PIAS2_HUMAN
PIAS3	Q9Y6X2	reviewed	PIAS3_HUMAN
PTPRC	P08575	reviewed	PTPRC_HUMAN
SOCS1	O15524	reviewed	SOCS1_HUMAN
STAT5A	P42229	reviewed	STA5A_HUMAN
STAT5B	P51692	reviewed	STA5B_HUMAN
STAT1	P42224	reviewed	STAT1_HUMAN
STAT3	P40763	reviewed	STAT3_HUMAN
STAT4	Q14765	reviewed	STAT4_HUMAN
STAT6	P42226	reviewed	STAT6_HUMAN
