"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"ADAM10","DLK1","O14672","P80370","9606.ENSP00000260408","9606.ENSP00000340292"
"ADAM10","DLL3","O14672","Q9NYJ7","9606.ENSP00000260408","9606.ENSP00000205143"
"ADAM10","DLL4","O14672","Q9NR61","9606.ENSP00000260408","9606.ENSP00000249749"
"ADAM10","JAG1","O14672","P78504","9606.ENSP00000260408","9606.ENSP00000254958"
"ADAM10","JAG2","O14672","Q9Y219","9606.ENSP00000260408","9606.ENSP00000328169"
"ADAM17","DLK1","P78536","P80370","9606.ENSP00000309968","9606.ENSP00000340292"
"ADAM17","DLL3","P78536","Q9NYJ7","9606.ENSP00000309968","9606.ENSP00000205143"
"ADAM17","DLL4","P78536","Q9NR61","9606.ENSP00000309968","9606.ENSP00000249749"
"ADAM17","JAG1","P78536","P78504","9606.ENSP00000309968","9606.ENSP00000254958"
"ADAM17","JAG2","P78536","Q9Y219","9606.ENSP00000309968","9606.ENSP00000328169"
"CIR1","RBPJL","Q86X95","Q9UBG7","9606.ENSP00000339723","9606.ENSP00000341243"
"CIR1","RBPJ","Q86X95","Q06330","9606.ENSP00000339723","9606.ENSP00000345206"
"DLK1","JAG1","P80370","P78504","9606.ENSP00000340292","9606.ENSP00000254958"
"DLK1","JAG2","P80370","Q9Y219","9606.ENSP00000340292","9606.ENSP00000328169"
"DLK1","NOTCH1","P80370","P46531","9606.ENSP00000340292","9606.ENSP00000498587"
"DLK1","NOTCH2","P80370","Q04721","9606.ENSP00000340292","9606.ENSP00000256646"
"DLK1","NOTCH3","P80370","Q9UM47","9606.ENSP00000340292","9606.ENSP00000263388"
"DLK1","NOTCH4","P80370","Q99466","9606.ENSP00000340292","9606.ENSP00000364163"
"DLL3","JAG1","Q9NYJ7","P78504","9606.ENSP00000205143","9606.ENSP00000254958"
"DLL3","JAG2","Q9NYJ7","Q9Y219","9606.ENSP00000205143","9606.ENSP00000328169"
"DLL3","NOTCH1","Q9NYJ7","P46531","9606.ENSP00000205143","9606.ENSP00000498587"
