From	Entry	Reviewed	Entry Name
MFNG	O00587	reviewed	MFNG_HUMAN
ADAM10	O14672	reviewed	ADA10_HUMAN
NOTCH1	P46531	reviewed	NOTC1_HUMAN
NUMB	P49757	reviewed	NUMB_HUMAN
PSEN1	P49768	reviewed	PSN1_HUMAN
JAG1	P78504	reviewed	JAG1_HUMAN
ADAM17	P78536	reviewed	ADA17_HUMAN
DLK1	P80370	reviewed	DLK1_HUMAN
NOTCH2	Q04721	reviewed	NOTC2_HUMAN
RBPJ	Q06330	reviewed	SUH_HUMAN
CIR1	Q86X95	reviewed	CIR1_HUMAN
LFNG	Q8NES3	reviewed	LFNG_HUMAN
NCSTN	Q92542	reviewed	NICA_HUMAN
MAML1	Q92585	reviewed	MAML1_HUMAN
FBXW7	Q969H0	reviewed	FBXW7_HUMAN
NOTCH4	Q99466	reviewed	NOTC4_HUMAN
FUT8	Q9BYC5	reviewed	FUT8_HUMAN
POFUT1	Q9H488	reviewed	OFUT1_HUMAN
DLL4	Q9NR61	reviewed	DLL4_HUMAN
DLL3	Q9NYJ7	reviewed	DLL3_HUMAN
RBPJL	Q9UBG7	reviewed	RBPJL_HUMAN
NOTCH3	Q9UM47	reviewed	NOTC3_HUMAN
JAG2	Q9Y219	reviewed	JAG2_HUMAN
NCOR2	Q9Y618	reviewed	NCOR2_HUMAN
