PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
ACVR1B	controls-phosphorylation-of	NLK	PANTHER		Wnt signaling pathway	panther:_CATALYSIS___TGFbetaactivated_Kinase_1_r71m1_r71;panther:STATE_TRANSITION_LEFT__Nemo_like_Kinase-_ATP-RIGHT__ADP-_Nemo_like_Kinase-_r71
ACVR1B	controls-state-change-of	NLK	PANTHER		Wnt signaling pathway	panther:_CATALYSIS___TGFbetaactivated_Kinase_1_r71m1_r71;panther:STATE_TRANSITION_LEFT__Nemo_like_Kinase-_ATP-RIGHT__ADP-_Nemo_like_Kinase-_r71
ACVR1C	controls-phosphorylation-of	NLK	PANTHER		Wnt signaling pathway	panther:_CATALYSIS___TGFbetaactivated_Kinase_1_r71m1_r71;panther:STATE_TRANSITION_LEFT__Nemo_like_Kinase-_ATP-RIGHT__ADP-_Nemo_like_Kinase-_r71
ACVR1C	controls-state-change-of	NLK	PANTHER		Wnt signaling pathway	panther:_CATALYSIS___TGFbetaactivated_Kinase_1_r71m1_r71;panther:STATE_TRANSITION_LEFT__Nemo_like_Kinase-_ATP-RIGHT__ADP-_Nemo_like_Kinase-_r71
ANKRD6	in-complex-with	AXIN1	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Beta_Catenin__PP2A__s129_a292_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	BTRC	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_
ANKRD6	in-complex-with	CSNK1A1L	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	CSNK1A1	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	CSNK1D	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
ANKRD6	in-complex-with	CSNK1E	PANTHER		Wnt signaling pathway	panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Glycogen_Synthase_Kinase_3Beta_Axin__PP2A_Diversin__Casein_Kinase_1__s252_a524_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s259_a539_;panther:_Complex__Adenomatous_Polyposis_Coli_Beta_Catenin__Axin_PP2A__Diversin_Casein_Kinase_1__s245_a511_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__PP2A_Diversin__Casein_Kinase_1_Beta_Catenin__betaTrCP_Glycogen_Synthase_Kinase_3Beta__s266_a555_;panther:_Complex__Adenomatous_Polyposis_Coli_Axin__Diversin_Casein_Kinase_1__Glycogen_Synthase_Kinase_3Beta_PP2A__s155_a356_
