From	Entry	Reviewed	Entry Name
ACVR1B	P36896	reviewed	ACV1B_HUMAN
ACVR1C	Q8NER5	reviewed	ACV1C_HUMAN
ANKRD6	Q9Y2G4	reviewed	ANKR6_HUMAN
ARID1A	O14497	reviewed	ARI1A_HUMAN
ARR3	P36575	reviewed	ARRC_HUMAN
ARRB1	P49407	reviewed	ARRB1_HUMAN
ARRB2	P32121	reviewed	ARRB2_HUMAN
AXIN1	O15169	reviewed	AXIN1_HUMAN
BCL9	O00512	reviewed	BCL9_HUMAN
BMPR1A	P36894	reviewed	BMR1A_HUMAN
BMPR1B	O00238	reviewed	BMR1B_HUMAN
BTRC	Q9Y297	reviewed	FBW1A_HUMAN
CDH10	Q9Y6N8	reviewed	CAD10_HUMAN
CDH11	P55287	reviewed	CAD11_HUMAN
CDH12	P55289	reviewed	CAD12_HUMAN
CDH13	P55290	reviewed	CAD13_HUMAN
CDH15	P55291	reviewed	CAD15_HUMAN
CDH16	O75309	reviewed	CAD16_HUMAN
CDH17	Q12864	reviewed	CAD17_HUMAN
CDH18	Q13634	reviewed	CAD18_HUMAN
CDH19	Q96JQ0	reviewed	PCD16_HUMAN
CDH19	Q9H159	reviewed	CAD19_HUMAN
CDH1	P12830	reviewed	CADH1_HUMAN
CDH1	Q9UM11	reviewed	FZR1_HUMAN
CDH20	Q9HBT6	reviewed	CAD20_HUMAN
CDH20	Q9UN71	reviewed	PCDGG_HUMAN
CDH22	Q9UJ99	reviewed	CAD22_HUMAN
CDH23	Q9H251	reviewed	CAD23_HUMAN
CDH24	Q86UP0	reviewed	CAD24_HUMAN
CDH2	P19022	reviewed	CADH2_HUMAN
CDH3	P22223	reviewed	CADH3_HUMAN
CDH3	P55291	reviewed	CAD15_HUMAN
CDH4	P55283	reviewed	CADH4_HUMAN
CDH5	P33151	reviewed	CADH5_HUMAN
CDH6	P55285	reviewed	CADH6_HUMAN
CDH7	Q9ULB5	reviewed	CADH7_HUMAN
CDH8	P55286	reviewed	CADH8_HUMAN
CDH9	Q9ULB4	reviewed	CADH9_HUMAN
CDHR1	Q96JP9	reviewed	CDHR1_HUMAN
CDHR2	Q9BYE9	reviewed	CDHR2_HUMAN
