From	To
P36896	9606.ENSP00000442656
Q8NER5	9606.ENSP00000243349
Q9Y2G4	9606.ENSP00000345767
O14497	9606.ENSP00000320485
P36575	9606.ENSP00000311538
P49407	9606.ENSP00000409581
P32121	9606.ENSP00000403701
O15169	9606.ENSP00000262320
O00512	9606.ENSP00000234739
P36894	9606.ENSP00000361107
O00238	9606.ENSP00000401907
Q9Y297	9606.ENSP00000359206
Q9Y6N8	9606.ENSP00000264463
P55287	9606.ENSP00000268603
P55289	9606.ENSP00000371689
P55290	9606.ENSP00000268613
P55291	9606.ENSP00000289746
O75309	9606.ENSP00000299752
Q12864	9606.ENSP00000027335
Q13634	9606.ENSP00000371710
Q96JQ0	9606.ENSP00000299441
Q9H159	9606.ENSP00000262150
P12830	9606.ENSP00000261769
Q9UM11	9606.ENSP00000378529
Q9HBT6	9606.ENSP00000262717
Q9UN71	9606.ENSP00000428288
Q9UJ99	9606.ENSP00000437790
Q9H251	9606.ENSP00000224721
Q86UP0	9606.ENSP00000380517
P19022	9606.ENSP00000269141
P22223	9606.ENSP00000264012
P55283	9606.ENSP00000484928
P33151	9606.ENSP00000497290
P55285	9606.ENSP00000265071
Q9ULB5	9606.ENSP00000381058
P55286	9606.ENSP00000462701
Q9ULB4	9606.ENSP00000231021
Q96JP9	9606.ENSP00000485478
Q9BYE9	9606.ENSP00000424565
Q9NYQ6	9606.ENSP00000262738
Q9HCU4	9606.ENSP00000271332
Q9NYQ7	9606.ENSP00000164024
O95813	9606.ENSP00000370297
Q86WJ1	9606.ENSP00000358262
Q92793	9606.ENSP00000262367
P48729	9606.ENSP00000261798
Q8N752	9606.ENSP00000369126
P48730	9606.ENSP00000381531
P49674	9606.ENSP00000380044
P78368	9606.ENSP00000255641
Q9Y6M4	9606.ENSP00000353904
P19784	9606.ENSP00000262506
Q8NEV1	9606.ENSP00000473553
P67870	9606.ENSP00000365042
Q13363	9606.ENSP00000290921
P56545	9606.ENSP00000311825
P35221	9606.ENSP00000304669
P26232	9606.ENSP00000384638
Q9UI47	9606.ENSP00000389714
Q9UBT7	9606.ENSP00000320434
P35222	9606.ENSP00000495360
Q9NYF0	9606.ENSP00000337439
O14640	9606.ENSP00000368166
O14641	9606.ENSP00000005340
Q92997	9606.ENSP00000316054
Q09472	9606.ENSP00000263253
Q96L91	9606.ENSP00000374212
Q9UKB1	9606.ENSP00000265094
Q92765	9606.ENSP00000295113
Q12841	9606.ENSP00000295633
Q9ULW2	9606.ENSP00000229030
Q9UP38	9606.ENSP00000287934
Q14332	9606.ENSP00000323901
O00144	9606.ENSP00000345785
Q9NPG1	9606.ENSP00000240093
Q9ULV1	9606.ENSP00000434034
Q13467	9606.ENSP00000354607
O60353	9606.ENSP00000351605
O75084	9606.ENSP00000286201
Q9H461	9606.ENSP00000363826
P29992	9606.ENSP00000078429
O95837	9606.ENSP00000365807
P30679	9606.ENSP00000262958
P50148	9606.ENSP00000286548
P62873	9606.ENSP00000367872
P62879	9606.ENSP00000305260
P16520	9606.ENSP00000229264
Q9HAV0	9606.ENSP00000232564
P49841	9606.ENSP00000324806
Q13547	9606.ENSP00000362649
Q92769	9606.ENSP00000430432
O15379	9606.ENSP00000302967
Q9BY41	9606.ENSP00000362674
Q9NRZ9	9606.ENSP00000377601
Q14527	9606.ENSP00000308944
Q9ULG1	9606.ENSP00000497609
Q14643	9606.ENSP00000306253
Q14571	9606.ENSP00000370744
Q14573	9606.ENSP00000363435
Q9UJU2	9606.ENSP00000265165
O75197	9606.ENSP00000294304
O75581	9606.ENSP00000261349
P57077	9606.ENSP00000382828
O43318	9606.ENSP00000358335
Q969G9	9606.ENSP00000268459
Q969F2	9606.ENSP00000296849
Q9UBE8	9606.ENSP00000384625
Q9NQ66	9606.ENSP00000338185
Q00722	9606.ENSP00000260402
Q01970	9606.ENSP00000443631
Q15147	9606.ENSP00000367762
P67775	9606.ENSP00000418447
P62714	9606.ENSP00000221138
Q15172	9606.ENSP00000261461
Q15173	9606.ENSP00000164133
Q13362	9606.ENSP00000412324
Q14738	9606.ENSP00000417963
Q16537	9606.ENSP00000337641
Q08209	9606.ENSP00000378323
P16298	9606.ENSP00000378306
P48454	9606.ENSP00000380878
P63098	9606.ENSP00000234310
Q96LZ3	9606.ENSP00000498330
Q9Y3Y4	9606.ENSP00000302327
Q9BRQ0	9606.ENSP00000357442
P10523	9606.ENSP00000386444
Q9UBF6	9606.ENSP00000273480
Q8N474	9606.ENSP00000220772
Q96HF1	9606.ENSP00000274063
Q6FHJ7	9606.ENSP00000410715
Q5T4F7	9606.ENSP00000266066
Q8IUQ4	9606.ENSP00000349156
O43255	9606.ENSP00000322457
Q15797	9606.ENSP00000305769
Q13485	9606.ENSP00000341551
Q99717	9606.ENSP00000441954
P28370	9606.ENSP00000360162
P51531	9606.ENSP00000371638
P51532	9606.ENSP00000343896
O60264	9606.ENSP00000283131
Q9NZC9	9606.ENSP00000349823
Q12824	9606.ENSP00000340883
Q92922	9606.ENSP00000254480
Q8TAQ2	9606.ENSP00000449396
Q96GM5	9606.ENSP00000378414
Q92925	9606.ENSP00000392617
Q6STE5	9606.ENSP00000262188
Q969G3	9606.ENSP00000323967
Q6ZRS2	9606.ENSP00000262518
P36897	9606.ENSP00000447297
Q04724	9606.ENSP00000365682
Q04725	9606.ENSP00000466542
Q04726	9606.ENSP00000452871
Q04727	9606.ENSP00000365720
Q9H808	9606.ENSP00000246112
Q9GZT5	9606.ENSP00000258411
O00744	9606.ENSP00000301061
O96014	9606.ENSP00000325526
