"id1","id2","uniprot_id1","uniprot_id2","string_id1","string_id2"
"ACVR1B","NLK","P36896","Q9UBE8","9606.ENSP00000442656","9606.ENSP00000384625"
"ACVR1B","NLK","P36896","Q9UBE8","9606.ENSP00000442656","9606.ENSP00000384625"
"ACVR1C","NLK","Q8NER5","Q9UBE8","9606.ENSP00000243349","9606.ENSP00000384625"
"ACVR1C","NLK","Q8NER5","Q9UBE8","9606.ENSP00000243349","9606.ENSP00000384625"
"ANKRD6","AXIN1","Q9Y2G4","O15169","9606.ENSP00000345767","9606.ENSP00000262320"
"ANKRD6","BTRC","Q9Y2G4","Q9Y297","9606.ENSP00000345767","9606.ENSP00000359206"
"ANKRD6","CSNK1A1L","Q9Y2G4","Q8N752","9606.ENSP00000345767","9606.ENSP00000369126"
"ANKRD6","CSNK1A1","Q9Y2G4","P48729","9606.ENSP00000345767","9606.ENSP00000261798"
"ANKRD6","CSNK1D","Q9Y2G4","P48730","9606.ENSP00000345767","9606.ENSP00000381531"
"ANKRD6","CSNK1E","Q9Y2G4","P49674","9606.ENSP00000345767","9606.ENSP00000380044"
"ANKRD6","CSNK1G2","Q9Y2G4","P78368","9606.ENSP00000345767","9606.ENSP00000255641"
"ANKRD6","CSNK1G3","Q9Y2G4","Q9Y6M4","9606.ENSP00000345767","9606.ENSP00000353904"
"ANKRD6","CTNNB1","Q9Y2G4","P35222","9606.ENSP00000345767","9606.ENSP00000495360"
"ANKRD6","FBXW11","Q9Y2G4","Q9UKB1","9606.ENSP00000345767","9606.ENSP00000265094"
"ANKRD6","GSK3B","Q9Y2G4","P49841","9606.ENSP00000345767","9606.ENSP00000324806"
"ANKRD6","PPP2CA","Q9Y2G4","P67775","9606.ENSP00000345767","9606.ENSP00000418447"
"ANKRD6","PPP2CB","Q9Y2G4","P62714","9606.ENSP00000345767","9606.ENSP00000221138"
"ANKRD6","PPP2R5A","Q9Y2G4","Q15172","9606.ENSP00000345767","9606.ENSP00000261461"
"ANKRD6","PPP2R5B","Q9Y2G4","Q15173","9606.ENSP00000345767","9606.ENSP00000164133"
"ANKRD6","PPP2R5C","Q9Y2G4","Q13362","9606.ENSP00000345767","9606.ENSP00000412324"
"ANKRD6","PPP2R5D","Q9Y2G4","Q14738","9606.ENSP00000345767","9606.ENSP00000417963"
"ANKRD6","PPP2R5E","Q9Y2G4","Q16537","9606.ENSP00000345767","9606.ENSP00000337641"
"ARID1A","BCL9","O14497","O00512","9606.ENSP00000320485","9606.ENSP00000234739"
"ARID1A","CREBBP","O14497","Q92793","9606.ENSP00000320485","9606.ENSP00000262367"
"ARID1A","CTNNB1","O14497","P35222","9606.ENSP00000320485","9606.ENSP00000495360"
"ARID1A","EP300","O14497","Q09472","9606.ENSP00000320485","9606.ENSP00000263253"
"ARID1A","LEF1","O14497","Q9UJU2","9606.ENSP00000320485","9606.ENSP00000265165"
"ARID1A","PYGO1","O14497","Q9Y3Y4","9606.ENSP00000320485","9606.ENSP00000302327"
"ARID1A","PYGO2","O14497","Q9BRQ0","9606.ENSP00000320485","9606.ENSP00000357442"
"ARID1A","SMAD1","O14497","Q15797","9606.ENSP00000320485","9606.ENSP00000305769"
"ARID1A","SMAD4","O14497","Q13485","9606.ENSP00000320485","9606.ENSP00000341551"
"ARID1A","SMAD5","O14497","Q99717","9606.ENSP00000320485","9606.ENSP00000441954"
"ARID1A","TCF7L1","O14497","Q9HCS4","9606.ENSP00000320485","9606.ENSP00000282111"
"ARID1A","TCF7L2","O14497","Q9NQB0","9606.ENSP00000320485","9606.ENSP00000486891"
"ARR3","CSNK1A1L","P36575","Q8N752","9606.ENSP00000311538","9606.ENSP00000369126"
"ARR3","CSNK1A1","P36575","P48729","9606.ENSP00000311538","9606.ENSP00000261798"
"ARR3","CSNK1D","P36575","P48730","9606.ENSP00000311538","9606.ENSP00000381531"
"ARR3","CSNK1E","P36575","P49674","9606.ENSP00000311538","9606.ENSP00000380044"
"ARR3","CSNK1G2","P36575","P78368","9606.ENSP00000311538","9606.ENSP00000255641"
"ARR3","CSNK1G3","P36575","Q9Y6M4","9606.ENSP00000311538","9606.ENSP00000353904"
"ARR3","CSNK2A2","P36575","P19784","9606.ENSP00000311538","9606.ENSP00000262506"
"ARR3","CSNK2A3","P36575","Q8NEV1","9606.ENSP00000311538","9606.ENSP00000473553"
"ARR3","CSNK2B","P36575","P67870","9606.ENSP00000311538","9606.ENSP00000365042"
"ARR3","DACT1","P36575","Q9NYF0","9606.ENSP00000311538","9606.ENSP00000337439"
"ARR3","DVL1","P36575","O14640","9606.ENSP00000311538","9606.ENSP00000368166"
"ARR3","DVL2","P36575","O14641","9606.ENSP00000311538","9606.ENSP00000005340"
"ARR3","DVL3","P36575","Q92997","9606.ENSP00000311538","9606.ENSP00000316054"
"ARR3","GSK3B","P36575","P49841","9606.ENSP00000311538","9606.ENSP00000324806"
"ARRB1","CSNK1A1L","P49407","Q8N752","9606.ENSP00000409581","9606.ENSP00000369126"
"ARRB1","CSNK1A1","P49407","P48729","9606.ENSP00000409581","9606.ENSP00000261798"
"ARRB1","CSNK1D","P49407","P48730","9606.ENSP00000409581","9606.ENSP00000381531"
"ARRB1","CSNK1E","P49407","P49674","9606.ENSP00000409581","9606.ENSP00000380044"
"ARRB1","CSNK1G2","P49407","P78368","9606.ENSP00000409581","9606.ENSP00000255641"
"ARRB1","CSNK1G3","P49407","Q9Y6M4","9606.ENSP00000409581","9606.ENSP00000353904"
"ARRB1","CSNK2A2","P49407","P19784","9606.ENSP00000409581","9606.ENSP00000262506"
"ARRB1","CSNK2A3","P49407","Q8NEV1","9606.ENSP00000409581","9606.ENSP00000473553"
"ARRB1","CSNK2B","P49407","P67870","9606.ENSP00000409581","9606.ENSP00000365042"
"ARRB1","DACT1","P49407","Q9NYF0","9606.ENSP00000409581","9606.ENSP00000337439"
"ARRB1","DVL1","P49407","O14640","9606.ENSP00000409581","9606.ENSP00000368166"
"ARRB1","DVL2","P49407","O14641","9606.ENSP00000409581","9606.ENSP00000005340"
"ARRB1","DVL3","P49407","Q92997","9606.ENSP00000409581","9606.ENSP00000316054"
"ARRB1","GSK3B","P49407","P49841","9606.ENSP00000409581","9606.ENSP00000324806"
"ARRB2","CSNK1A1L","P32121","Q8N752","9606.ENSP00000403701","9606.ENSP00000369126"
"ARRB2","CSNK1A1","P32121","P48729","9606.ENSP00000403701","9606.ENSP00000261798"
"ARRB2","CSNK1D","P32121","P48730","9606.ENSP00000403701","9606.ENSP00000381531"
"ARRB2","CSNK1E","P32121","P49674","9606.ENSP00000403701","9606.ENSP00000380044"
"ARRB2","CSNK1G2","P32121","P78368","9606.ENSP00000403701","9606.ENSP00000255641"
"ARRB2","CSNK1G3","P32121","Q9Y6M4","9606.ENSP00000403701","9606.ENSP00000353904"
"ARRB2","CSNK2A2","P32121","P19784","9606.ENSP00000403701","9606.ENSP00000262506"
"ARRB2","CSNK2A3","P32121","Q8NEV1","9606.ENSP00000403701","9606.ENSP00000473553"
"ARRB2","CSNK2B","P32121","P67870","9606.ENSP00000403701","9606.ENSP00000365042"
"ARRB2","DACT1","P32121","Q9NYF0","9606.ENSP00000403701","9606.ENSP00000337439"
"ARRB2","DVL1","P32121","O14640","9606.ENSP00000403701","9606.ENSP00000368166"
"ARRB2","DVL2","P32121","O14641","9606.ENSP00000403701","9606.ENSP00000005340"
"ARRB2","DVL3","P32121","Q92997","9606.ENSP00000403701","9606.ENSP00000316054"
"ARRB2","GSK3B","P32121","P49841","9606.ENSP00000403701","9606.ENSP00000324806"
"AXIN1","BTRC","O15169","Q9Y297","9606.ENSP00000262320","9606.ENSP00000359206"
"AXIN1","CSNK1A1L","O15169","Q8N752","9606.ENSP00000262320","9606.ENSP00000369126"
"AXIN1","CSNK1A1","O15169","P48729","9606.ENSP00000262320","9606.ENSP00000261798"
"AXIN1","CSNK1D","O15169","P48730","9606.ENSP00000262320","9606.ENSP00000381531"
"AXIN1","CSNK1E","O15169","P49674","9606.ENSP00000262320","9606.ENSP00000380044"
"AXIN1","CSNK1G2","O15169","P78368","9606.ENSP00000262320","9606.ENSP00000255641"
"AXIN1","CSNK1G3","O15169","Q9Y6M4","9606.ENSP00000262320","9606.ENSP00000353904"
"AXIN1","CTNNB1","O15169","P35222","9606.ENSP00000262320","9606.ENSP00000495360"
"AXIN1","FBXW11","O15169","Q9UKB1","9606.ENSP00000262320","9606.ENSP00000265094"
"AXIN1","GSK3B","O15169","P49841","9606.ENSP00000262320","9606.ENSP00000324806"
"AXIN1","PPP2CA","O15169","P67775","9606.ENSP00000262320","9606.ENSP00000418447"
"AXIN1","PPP2CB","O15169","P62714","9606.ENSP00000262320","9606.ENSP00000221138"
"AXIN1","PPP2R5A","O15169","Q15172","9606.ENSP00000262320","9606.ENSP00000261461"
"AXIN1","PPP2R5B","O15169","Q15173","9606.ENSP00000262320","9606.ENSP00000164133"
"AXIN1","PPP2R5C","O15169","Q13362","9606.ENSP00000262320","9606.ENSP00000412324"
"AXIN1","PPP2R5D","O15169","Q14738","9606.ENSP00000262320","9606.ENSP00000417963"
"AXIN1","PPP2R5E","O15169","Q16537","9606.ENSP00000262320","9606.ENSP00000337641"
"AXIN1","SIAH1","O15169","Q8IUQ4","9606.ENSP00000262320","9606.ENSP00000349156"
"AXIN1","SIAH2","O15169","O43255","9606.ENSP00000262320","9606.ENSP00000322457"
"AXIN1","TBL1XR1","O15169","Q9BZK7","9606.ENSP00000262320","9606.ENSP00000405574"
"AXIN1","TBL1X","O15169","O60907","9606.ENSP00000262320","9606.ENSP00000495556"
"AXIN1","TBL1Y","O15169","Q9BQ87","9606.ENSP00000262320","9606.ENSP00000372499"
"BCL9","CHD1L","O00512","Q86WJ1","9606.ENSP00000234739","9606.ENSP00000358262"
"BCL9","CREBBP","O00512","Q92793","9606.ENSP00000234739","9606.ENSP00000262367"
"BCL9","CTNNB1","O00512","P35222","9606.ENSP00000234739","9606.ENSP00000495360"
"BCL9","EP300","O00512","Q09472","9606.ENSP00000234739","9606.ENSP00000263253"
"BCL9","EP400","O00512","Q96L91","9606.ENSP00000234739","9606.ENSP00000374212"
"BCL9","HELLS","O00512","Q9NRZ9","9606.ENSP00000234739","9606.ENSP00000377601"
"BCL9","HLTF","O00512","Q14527","9606.ENSP00000234739","9606.ENSP00000308944"
"BCL9","INO80","O00512","Q9ULG1","9606.ENSP00000234739","9606.ENSP00000497609"
"BCL9","LEF1","O00512","Q9UJU2","9606.ENSP00000234739","9606.ENSP00000265165"
"BCL9","PYGO1","O00512","Q9Y3Y4","9606.ENSP00000234739","9606.ENSP00000302327"
"BCL9","PYGO2","O00512","Q9BRQ0","9606.ENSP00000234739","9606.ENSP00000357442"
"BCL9","SMAD1","O00512","Q15797","9606.ENSP00000234739","9606.ENSP00000305769"
