From	To
O95831	9606.ENSP00000287295
P31749	9606.ENSP00000451828
P31751	9606.ENSP00000375892
Q9Y243	9606.ENSP00000500582
O14727	9606.ENSP00000448165
O95817	9606.ENSP00000358081
O95429	9606.ENSP00000287322
Q16611	9606.ENSP00000363591
Q07812	9606.ENSP00000293288
P10415	9606.ENSP00000381185
Q9HD36	9606.ENSP00000453562
O43521	9606.ENSP00000376943
Q07817	9606.ENSP00000365230
Q92843	9606.ENSP00000250405
Q13490	9606.ENSP00000477613
Q13489	9606.ENSP00000263464
Q9UMX3	9606.ENSP00000314132
Q92851	9606.ENSP00000286186
P42574	9606.ENSP00000311032
P55210	9606.ENSP00000358327
Q14790	9606.ENSP00000351273
O15519	9606.ENSP00000312455
O15111	9606.ENSP00000359424
P78560	9606.ENSP00000439068
P99999	9606.ENSP00000307786
Q9UER7	9606.ENSP00000266000
Q9NR28	9606.ENSP00000398495
P19525	9606.ENSP00000233057
Q13158	9606.ENSP00000301838
P25445	9606.ENSP00000498466
P49327	9606.ENSP00000304592
P48023	9606.ENSP00000356694
P01100	9606.ENSP00000306245
P10144	9606.ENSP00000216341
P20718	9606.ENSP00000216338
P0DMV8	9606.ENSP00000364801
P34931	9606.ENSP00000364805
P54652	9606.ENSP00000378199
P11021	9606.ENSP00000324173
P17066	9606.ENSP00000310219
P11142	9606.ENSP00000437125
O14920	9606.ENSP00000430684
P01374	9606.ENSP00000403495
Q06643	9606.ENSP00000410481
Q8WXG6	9606.ENSP00000310933
P46734	9606.ENSP00000345083
P45985	9606.ENSP00000410402
O14733	9606.ENSP00000381070
Q99558	9606.ENSP00000482657
Q13233	9606.ENSP00000382423
Q99683	9606.ENSP00000351908
Q12851	9606.ENSP00000294066
Q8IVH8	9606.ENSP00000263881
O95819	9606.ENSP00000343658
P28482	9606.ENSP00000215832
P27361	9606.ENSP00000263025
P45983	9606.ENSP00000378974
P45984	9606.ENSP00000394560
Q07820	9606.ENSP00000358022
P19838	9606.ENSP00000226574
Q00653	9606.ENSP00000358983
P25963	9606.ENSP00000216797
P42336	9606.ENSP00000263967
P42338	9606.ENSP00000501150
O00329	9606.ENSP00000366563
P48736	9606.ENSP00000419260
P17252	9606.ENSP00000408695
P05771	9606.ENSP00000496129
Q05655	9606.ENSP00000331602
Q02156	9606.ENSP00000306124
P05129	9606.ENSP00000263431
P24723	9606.ENSP00000329127
Q04759	9606.ENSP00000263125
O75569	9606.ENSP00000318176
Q13546	9606.ENSP00000259808
P55061	9606.ENSP00000389277
P01375	9606.ENSP00000398698
O00220	9606.ENSP00000221132
O14763	9606.ENSP00000276431
O14798	9606.ENSP00000349324
Q9UBN6	9606.ENSP00000310263
P19438	9606.ENSP00000162749
P20333	9606.ENSP00000365435
Q15628	9606.ENSP00000341268
Q12933	9606.ENSP00000247668
Q92844	9606.ENSP00000259075
P98170	9606.ENSP00000360242
P18846	9606.ENSP00000262053
P15336	9606.ENSP00000264110
P50591	9606.ENSP00000241261
Q14249	9606.ENSP00000361725
P17544	9606.ENSP00000399465
P04637	9606.ENSP00000269305
P18850	9606.ENSP00000356919
P18847	9606.ENSP00000344352
P18848	9606.ENSP00000336790
Q03060	9606.ENSP00000265372
P05412	9606.ENSP00000360266
P05198	9606.ENSP00000256383
P11717	9606.ENSP00000349437
Q04864	9606.ENSP00000295025
P55211	9606.ENSP00000330237
Q8WYK2	9606.ENSP00000267569
Q99941	9606.ENSP00000364349
Q04206	9606.ENSP00000384273
Q01201	9606.ENSP00000221452
Q13323	9606.ENSP00000216115
