From	To
O00587	9606.ENSP00000349490
O14672	9606.ENSP00000260408
P46531	9606.ENSP00000498587
P49757	9606.ENSP00000451300
P49768	9606.ENSP00000326366
P78504	9606.ENSP00000254958
P78536	9606.ENSP00000309968
P80370	9606.ENSP00000340292
Q04721	9606.ENSP00000256646
Q06330	9606.ENSP00000345206
Q86X95	9606.ENSP00000339723
Q8NES3	9606.ENSP00000222725
Q92542	9606.ENSP00000294785
Q92585	9606.ENSP00000292599
Q969H0	9606.ENSP00000474725
Q99466	9606.ENSP00000364163
Q9BYC5	9606.ENSP00000353910
Q9H488	9606.ENSP00000364902
Q9NR61	9606.ENSP00000249749
Q9NYJ7	9606.ENSP00000205143
Q9UBG7	9606.ENSP00000341243
Q9UM47	9606.ENSP00000263388
Q9Y219	9606.ENSP00000328169
Q9Y618	9606.ENSP00000384018
