From	To
Q9Y297	9606.ENSP00000359206
Q92793	9606.ENSP00000262367
P48729	9606.ENSP00000261798
Q8N752	9606.ENSP00000369126
P49674	9606.ENSP00000380044
Q9UKB1	9606.ENSP00000265094
P08151	9606.ENSP00000228682
P10071	9606.ENSP00000379258
P49841	9606.ENSP00000324806
P10644	9606.ENSP00000376475
P31321	9606.ENSP00000385749
P13861	9606.ENSP00000265563
P31323	9606.ENSP00000265717
Q13635	9606.ENSP00000332353
Q15465	9606.ENSP00000297261
Q99835	9606.ENSP00000249373
Q9NWM0	9606.ENSP00000478305
Q9NRP7	9606.ENSP00000295709
O95071	9606.ENSP00000429084
Q9UMX1	9606.ENSP00000358918
