From	To
Q08462	9606.ENSP00000342952
P51828	9606.ENSP00000501053
P13945	9606.ENSP00000343782
P38405	9606.ENSP00000334051
P62873	9606.ENSP00000367872
P62879	9606.ENSP00000305260
P16520	9606.ENSP00000229264
Q9HAV0	9606.ENSP00000232564
O14775	9606.ENSP00000261837
P50151	9606.ENSP00000363411
Q9UBI6	9606.ENSP00000360021
P59768	9606.ENSP00000334448
P63215	9606.ENSP00000294117
P50150	9606.ENSP00000398629
P63218	9606.ENSP00000359675
O60262	9606.ENSP00000371594
O14610	9606.ENSP00000421710
Q9UK08	9606.ENSP00000300873
